movie_genre_list,release_year,movie_count
Classic Movies,1946,2
Documentaries,1946,1
Comedies,1958,1
Classic Movies,1960,2
Action & Adventure,1962,1
Classic Movies,1947,1
Children & Family Movies,1954,1
Comedies,1954,1
Thrillers,1946,1
Classic Movies,1954,1
Documentaries,1943,3
International Movies,1959,1
International Movies,1960,2
Horror Movies,1968,1
Classic Movies,1969,1
Dramas,1960,3
Comedies,1962,1
Dramas,1962,3
Music & Musicals,1966,1
Action & Adventure,1968,1
Classic Movies,1944,3
Classic Movies,1942,2
Classic Movies,1943,1
Documentaries,1942,2
Classic Movies,1945,3
Classic Movies,1962,2
Dramas,1946,1
Comedies,1960,2
International Movies,1964,1
International Movies,1970,1
Documentaries,1945,3
Sci-Fi & Fantasy,1956,1
Dramas,1955,1
Classic Movies,1956,1
Dramas,1964,1
Classic Movies,1971,2
Dramas,1971,1
Children & Family Movies,1977,1
Comedies,1968,1
Documentaries,1947,1
Comedies,1970,1
Dramas,1958,1
Dramas,1965,2
Romantic Movies,1960,1
Action & Adventure,1956,1
Classic Movies,1977,1
Action & Adventure,1960,2
International Movies,1962,1
Dramas,1959,1
International Movies,1968,1
Independent Movies,1977,1
Dramas,1973,3
Independent Movies,1973,1
Dramas,1966,1
International Movies,1966,1
Dramas,1967,2
Thrillers,1968,1
Classic Movies,1965,2
Dramas,1974,3
Romantic Movies,1974,1
Action & Adventure,1979,2
Romantic Movies,1962,1
Dramas,1969,2
International Movies,1969,1
Classic Movies,1974,3
Romantic Movies,1965,1
Children & Family Movies,1974,1
Music & Musicals,1974,1
Comedies,1971,1
Romantic Movies,1969,1
Cult Movies,1979,2
Dramas,1975,2
Comedies,1976,2
Horror Movies,1976,1
Romantic Movies,1976,1
Cult Movies,1971,1
Children & Family Movies,1971,1
Children & Family Movies,1980,1
Classic Movies,1958,2
International Movies,1974,2
Classic Movies,1978,2
Cult Movies,1976,2
Comedies,1981,2
Action & Adventure,1973,4
Classic Movies,1980,2
Music & Musicals,1978,1
Action & Adventure,1976,3
International Movies,1978,4
Classic Movies,1972,2
International Movies,1979,1
Action & Adventure,1982,3
International Movies,1982,6
Dramas,1978,3
Independent Movies,1978,1
Children & Family Movies,1968,1
Classic Movies,1979,4
Romantic Movies,1984,2
International Movies,1973,4
Action & Adventure,1972,1
Classic Movies,1973,5
Stand-Up Comedy,1979,1
International Movies,1971,2
Sci-Fi & Fantasy,1980,1
Sci-Fi & Fantasy,1984,1
Comedies,1985,3
Dramas,1993,11
Stand-Up Comedy,1993,1
Thrillers,1993,2
Dramas,1981,2
Stand-Up Comedy,1983,1
Music & Musicals,1958,1
Documentaries,1994,2
International Movies,1972,1
Dramas,1976,4
Action & Adventure,1977,1
Horror Movies,1974,1
Comedies,1980,3
Independent Movies,1982,3
Independent Movies,1983,2
Sports Movies,1974,1
Independent Movies,1995,1
Classic Movies,1967,2
Independent Movies,1974,2
Thrillers,1976,1
Comedies,1978,1
Sports Movies,1982,1
Action & Adventure,1983,3
Cult Movies,1985,1
Music & Musicals,1975,1
Horror Movies,1987,1
Comedies,1972,1
Children & Family Movies,1973,1
